apps/frappe/frappe/public/js/frappe/form/workflow.js +32, by Role ,حسب الصلاحية
apps/frappe/frappe/model/naming.py +90, for {0},ل{0}
DocType: About Us Settings,"""Company History""","""نبذة عن الشركة"""
apps/frappe/frappe/core/page/data_import_tool/exporter.py +69,"""Parent"" signifies the parent table in which this row must be added","""الأم"" يدل على الجدول الأصل الذي يجب أن يضاف هذا الصف"
DocType: About Us Settings,"""Team Members"" or ""Management""","""أعضاء الفريق"" أو ""الإدارة"""
DocType: Website Settings,&lt;head&gt; HTML,<head> HTML
apps/frappe/frappe/custom/doctype/customize_form/customize_form.py +137,'In List View' not allowed for type {0} in row {1},'في عرض القائمة' لا يسمح لنوع {0} في {1} الصف
apps/frappe/frappe/public/js/frappe/ui/toolbar/navbar.html +58,(Ctrl + G),(كنترول + G)
apps/frappe/frappe/model/rename_doc.py +352,** Failed: {0} to {1}: {2},** فشل: {0} إلى {1}: {2}
DocType: Currency,**Currency** Master,سجل  **العملات**
DocType: Workflow Document State,0 - Draft; 1 - Submitted; 2 - Cancelled,0 - مسودّة؛ 1 - تأكيد؛ 2 - إلغاء
DocType: Web Page,0 is highest,0 أعلى قيمة
DocType: Currency,"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent",
apps/frappe/frappe/website/doctype/blog_post/blog_post.py +170,1 comment,تعليق واحد
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +43,1 hour ago,منذ 1 ساعة
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +41,1 minute ago,منذ 1 دقيقة
apps/frappe/frappe/public/js/frappe/list/listview.js +342,2 days ago,منذ يومين
DocType: DocType,"<a onclick=""msgprint('<ol>\
<li><b>field:[fieldname]</b> - By Field\
<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\
<li><b>Prompt</b> - Prompt user for a name\
<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\
</ol>')"">Naming Options</a>",
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_layout.html +11,<span class=text-muted data-no-content=1>,<الطبقة = تمتد-كتم النص بيانات-لا-المحتوى = 1>
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +49,> {0} year(s) ago,&gt; {0} عام مضت
apps/frappe/frappe/config/core.py +57,A log of request errors,وسجل الطلب أخطاء
apps/frappe/frappe/templates/emails/new_user.html +3,A new account has been created for you at {0},تم إنشاء حساب جديد لك في {0}
apps/frappe/frappe/desk/form/assign_to.py +153,"A new task, {0}, has been assigned to you by {1}. {2}",مهمة جديدة، {0}، أسندت إليك بواسطة {1}. {2}
DocType: Currency,A symbol for this currency. For e.g. $,رمز هذه العملة. ر.س مثلاً
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +31,A user can be permitted to multiple records of the same DocType.,يمكن أن يسمح للمستخدم بسجلات متعددة من نفس نوع المستند (DocType).
apps/frappe/frappe/public/js/frappe/ui/toolbar/navbar.html +35,About,حول
DocType: About Us Settings,About Us Settings,إعدادات صفحة من نحن
DocType: About Us Team Member,About Us Team Member,أعضاء فريق صفحة من نحن
DocType: Currency,Accounts User,حسابات المستخدمين
DocType: Workflow Transition,Action,حدث
DocType: Web Form,Actions,الإجراءات
apps/frappe/frappe/config/setup.py +181,"Actions for workflow (e.g. Approve, Cancel).","اجراءات سير العمل مثال : الموافقة,الرفض"
apps/frappe/frappe/core/doctype/user/user_list.js +12,Active,نشط
,Activity,نشاط
apps/frappe/frappe/config/desk.py +39,Activity log of all users.,سجل النشاط لجميع المستخدمين.
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +379,Add,إضافة
apps/frappe/frappe/config/setup.py +128,Add / Manage Email Accounts.,إضافة / إدارة حسابات البريد الإلكتروني.
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +306,Add A New Restriction,إضافة تقييد جديد
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +366,Add A New Rule,إضافة قاعدة جديدة
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +302,Add A User Restriction,إضافة تقييد العضو
apps/frappe/frappe/public/js/frappe/views/communication.js +249,Add Attachments,إضافة مرفقات
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +625,Add Column,إضافة عمود
apps/frappe/frappe/public/js/frappe/ui/listing.html +6,Add Filter,إضافة تصفية (فلترة)
DocType: Website Settings,Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,(UA-89XXX57-1)اضافة تحليلات جوجل رقم تعريفى من فضلك ابحث عن المساعدة فى تحليلات جوجل لمزيد من المعلومات
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +370,Add New Permission Rule,إضافة قاعدة صلاحيات جديدة
apps/frappe/frappe/public/js/frappe/views/communication.js +15,Add Reply,إضافة رد
